Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$45,592,344,556 ",0.51%,USA,Analyze
AA,Alcoa Corp,Common stocks,Mid cap,Materials,"$7,274,796,065 ",0.92%,USA,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"$14,295,868,908 ",0.00%,USA,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"$14,009,807,678 ",0.82%,USA,Analyze
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,486,290,142,690 ",0.56%,USA,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$208,043,328,957 ",4.24%,USA,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$24,811,560,506 ",1.43%,USA,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$14,737,110,700 ",0.00%,USA,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$212,365,544,089 ",1.42%,USA,Analyze
ACC,"American Campus Communities, Inc",REITs,Mid cap,Real Estate,"$6,919,484,100 ",3.69%,USA,Analyze
ACGL,Arch Capital Group Ltd,Common stocks,Large cap,Financials,"$15,624,094,626 ",0.00%,USA,Analyze
ACHC,Acadia Healthcare Company Inc,Common stocks,Mid cap,Health Care,"$5,521,645,839 ",0.00%,USA,Analyze
ACI,"Albertsons Companies, Inc. Class A",Common stocks,Mid cap,Consumer Staples,"$9,521,488,714 ",1.94%,USA,Analyze
ACM,AECOM,Common stocks,Mid cap,Industrials,"$9,117,351,556 ",0.00%,USA,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$212,578,371,545 ",1.10%,USA,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$295,749,120,000 ",0.00%,USA,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$60,450,731,860 ",1.59%,USA,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$32,650,551,308 ",2.48%,USA,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$87,771,663,866 ",1.78%,USA,Analyze
ADPT,Adaptive Biotechnologies Corporation,Common stocks,Mid cap,Health Care,"$5,166,256,212 ",0.00%,USA,Analyze
ADS,Alliance Data Systems Corp,Common stocks,Mid cap,Information Technology,"$4,949,988,163 ",0.84%,USA,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$69,000,575,850 ",0.00%,USA,Analyze
ADT,ADT Inc.,Common stocks,Mid cap,Industrials,"$8,151,249,288 ",1.31%,USA,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$21,274,755,532 ",2.51%,USA,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$43,862,037,404 ",0.78%,USA,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$15,990,176,016 ",2.43%,USA,Analyze
AFG,American Financial Group Inc,Common stocks,Large cap,Financials,"$10,772,763,174 ",1.42%,USA,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$36,498,130,466 ",2.26%,USA,Analyze
AGCO,AGCO Corp,Common stocks,Mid cap,Industrials,"$9,504,834,678 ",3.69%,USA,Analyze
AGL,"agilon health, inc.",Common stocks,Large cap,Health Care,"$14,324,013,324 ",0.00%,USA,Analyze
AGNC,AGNC Investment Corp,Mortgage REITs,Mid cap,Financials,"$8,492,998,690 ",8.58%,USA,Analyze
AGO,Assured Guaranty Ltd,Common stocks,Mid cap,Financials,"$3,559,857,351 ",1.77%,USA,Analyze
AGR,Avangrid Inc,Common stocks,Large cap,Utilities,"$16,040,829,004 ",3.35%,USA,Analyze
AI,"C3.ai, Inc. Class A",Common stocks,Mid cap,Information Technology,"$5,145,928,513 ",0.00%,USA,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$40,941,890,268 ",2.66%,USA,Analyze
AIRC,Apartment Income REIT Corp.,REITs,Mid cap,Real Estate,"$8,117,296,886 ",1.65%,USA,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$9,435,070,089 ",1.67%,USA,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$28,918,549,336 ",1.32%,USA,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$19,431,868,686 ",0.00%,USA,Analyze
AL,Air Lease Corp,Common stocks,Mid cap,Industrials,"$4,739,587,495 ",1.51%,USA,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$22,742,080,578 ",0.79%,USA,Analyze
ALGM,"Allegro MicroSystems, Inc.",Common stocks,Mid cap,Information Technology,"$4,902,797,167 ",0.00%,USA,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$50,297,624,339 ",0.00%,USA,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$7,538,617,384 ",0.00%,USA,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$39,063,698,262 ",2.05%,USA,Analyze
ALLE,Allegion PLC,Common stocks,Large cap,Industrials,"$12,382,554,336 ",0.98%,USA,Analyze
ALLY,Ally Financial Inc,Common stocks,Large cap,Financials,"$19,245,735,350 ",1.45%,USA,Analyze
ALNY,Alnylam Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$20,935,947,074 ",0.00%,USA,Analyze
ALSN,Allison Transmission Holdings Inc,Common stocks,Mid cap,Industrials,"$4,364,265,469 ",1.80%,USA,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$126,568,055,091 ",0.65%,USA,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$17,947,123,176 ",4.01%,United Kingdom,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$111,563,226,016 ",0.00%,USA,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$31,693,656,906 ",0.55%,USA,Analyze
AMED,Amedisys Inc,Common stocks,Mid cap,Health Care,"$8,311,352,840 ",0.00%,USA,Analyze
AMG,Affiliated Managers Group Inc,Common stocks,Mid cap,Financials,"$7,054,083,615 ",0.02%,USA,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$140,811,690,889 ",2.71%,USA,Analyze
AMH,American Homes 4 Rent Class A,REITs,Large cap,Real Estate,"$13,252,467,245 ",0.71%,USA,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$29,109,510,361 ",1.68%,USA,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$126,593,413,183 ",1.70%,USA,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,865,907,044,928 ",0.00%,USA,Analyze
AN,AutoNation Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,272,853,901 ",0.00%,USA,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$28,782,523,878 ",0.00%,USA,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$31,657,808,892 ",0.00%,USA,Analyze
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$92,284,159,180 ",1.09%,USA,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$56,763,822,210 ",0.74%,USA,Analyze
AOS,A O Smith Corp,Common stocks,Large cap,Industrials,"$11,271,662,220 ",1.45%,USA,Analyze
APA,Apache Corp,Common stocks,Mid cap,Energy,"$7,121,008,211 ",0.27%,USA,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$63,986,378,273 ",1.95%,USA,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$42,275,336,033 ",0.58%,USA,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$43,206,424,153 ",0.00%,Ireland,Analyze
ARD,Ardagh Group S.A. Class A,Common stocks,Small cap,Materials,"$435,584,048 ",2.56%,Luxembourg,Analyze
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$28,937,786,915 ",2.20%,USA,Analyze
ARES,Ares Management Corporation Class A,Common stocks,Large cap,Financials,"$10,869,673,745 ",2.57%,USA,Analyze
ARMK,Aramark,Common stocks,Mid cap,Consumer Discretionary,"$9,014,734,622 ",1.24%,USA,Analyze
ARW,Arrow Electronics Inc,Common stocks,Mid cap,Information Technology,"$8,471,029,904 ",0.00%,USA,Analyze
ASH,Ashland Global Inc,Common stocks,Mid cap,Materials,"$5,328,420,153 ",1.28%,USA,Analyze
ATH,Athene Holding Ltd,Common stocks,Large cap,Financials,"$12,464,612,165 ",0.00%,USA,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$13,015,918,259 ",2.44%,USA,Analyze
ATR,Aptargroup Inc,Common stocks,Mid cap,Materials,"$8,984,547,417 ",1.06%,USA,Analyze
ATUS,"Altice USA, Inc. Class A",Common stocks,Large cap,Communication Services,"$16,107,304,983 ",0.00%,USA,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$70,040,290,656 ",0.52%,USA,Analyze
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$31,578,568,889 ",2.78%,USA,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$197,844,052,454 ",2.88%,USA,Analyze
AVLR,Avalara Inc.,Common stocks,Large cap,Information Technology,"$14,511,646,030 ",0.95%,USA,Analyze
AVT,Avnet Inc,Common stocks,Mid cap,Information Technology,"$4,029,832,985 ",2.08%,USA,Analyze
AVTR,"Avantor, Inc.",Common stocks,Large cap,Health Care,"$21,463,436,282 ",0.00%,USA,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$17,041,486,764 ",0.91%,USA,Analyze
AWI,Armstrong World Industries Inc,Common stocks,Mid cap,Industrials,"$5,054,963,965 ",0.78%,USA,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$30,156,550,991 ",1.35%,USA,Analyze
AXON,"Axon Enterprise, Inc.",Common stocks,Large cap,Industrials,"$11,775,141,623 ",0.00%,USA,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$137,127,093,248 ",0.99%,USA,Analyze
AXS,Axis Capital Holdings Ltd,Common stocks,Mid cap,Financials,"$4,238,856,052 ",3.30%,USA,Analyze
AXTA,Axalta Coating Systems Ltd,Common stocks,Mid cap,Materials,"$6,762,127,771 ",0.00%,USA,Analyze
AYI,Acuity Brands Inc,Common stocks,Mid cap,Industrials,"$6,109,303,962 ",0.30%,USA,Analyze
AYX,Alteryx Inc Class A,Common stocks,Mid cap,Information Technology,"$4,803,985,455 ",0.00%,USA,Analyze
